Severity,ID,CVSS V3: Base Score,Last updated,Status,Source,CVSS V3: Vector,Package Matched CPE,Vulnerability Matched CPE
2,CVE-2019-19377,7.8,"October 21, 2024 (15:22:04)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2019-19378,7.8,"October 21, 2024 (15:22:05)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2020-0433,7.8,"October 21, 2024 (15:23:21)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2020-12362,7.8,"October 21, 2024 (15:22:30)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2020-25643,7.2,"October 21, 2024 (15:22:55)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2020-28374,8.1,"October 21, 2024 (15:22:55)",undetermined,nvd,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-32399,7,"October 21, 2024 (15:23:24)",undetermined,nvd,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-3493,7.8,"October 21, 2024 (15:24:04)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-3612,7.8,"October 21, 2024 (15:22:14)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-3752,7.1,"October 21, 2024 (15:23:20)",undetermined,nvd,CVSS:3.1/AV:A/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-3760,7.8,"October 21, 2024 (15:22:17)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-3847,7.8,"October 21, 2024 (15:23:20)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-4157,8,"October 21, 2024 (15:23:16)",undetermined,nvd,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2021-4439,7.8,"October 21, 2024 (15:21:57)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2023-35824,7,"October 21, 2024 (15:22:44)",undetermined,nvd,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-0330,7.8,"October 21, 2024 (15:22:19)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-1048,7,"October 21, 2024 (15:21:52)",undetermined,nvd,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-1679,7.8,"October 21, 2024 (15:23:26)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-20566,7.8,"October 21, 2024 (15:23:42)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-25265,7.8,"October 21, 2024 (15:23:13)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-2588,7.8,"October 21, 2024 (15:23:53)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-26365,7.1,"October 21, 2024 (15:22:26)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-2978,7.8,"October 21, 2024 (15:22:05)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-2961,7,"October 21, 2024 (15:22:36)",undetermined,nvd,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-3424,7.8,"October 21, 2024 (15:23:09)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
2,CVE-2022-33740,7.1,"October 21, 2024 (15:23:53)",undetermined,nvd,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,cpe:2.3:o:linux:linux_kernel:4.4.217:*:*:*:*:*:*:*,cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
